# energy s p
-7.995000000000000107e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.985000000000000320e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.975000000000000533e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.965000000000000746e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.955000000000000959e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.945000000000001172e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.935000000000001386e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.925000000000001599e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.915000000000001812e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.905000000000002025e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.895000000000002238e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.885000000000002451e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.875000000000002665e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.865000000000002878e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.855000000000003091e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.845000000000003304e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.835000000000003517e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.825000000000003730e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.815000000000003944e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.805000000000004157e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.795000000000004370e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.785000000000004583e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.775000000000004796e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.765000000000005009e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.755000000000005222e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.745000000000005436e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.735000000000005649e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.725000000000005862e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.715000000000006075e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.705000000000006288e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.695000000000006501e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.685000000000006715e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.675000000000006928e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.665000000000007141e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.655000000000007354e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.645000000000007567e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.635000000000007780e+00 0.000000000000000000e+00 0.000000000000000000e+00
-7.625000000000007994e+00 0.000000000000000000e+00 0.000000000000000000e+00
